""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Cyth1"	1.04331182695718e-05	-0.173058442257902	0.293	0.448	0.180127786924158
"Zbtb38"	1.04972487744846e-05	-0.185005006383053	0.226	0.344	0.181235000091476
"Mrpl17"	1.05464505732327e-05	-0.18500516083939	0.224	0.355	0.182084469146863
"Rd3"	1.09120516529536e-05	-0.217993122871858	0.354	0.503	0.188396571788245
"Atp6ap2"	1.12427197327991e-05	-0.219915827859409	0.493	0.654	0.194105556186776
"Igsf8"	1.18236912644462e-05	-0.214533172698393	0.31	0.462	0.204136029680664
"Serf2"	1.22442168509479e-05	-0.181138765851987	0.55	0.725	0.211396403931615
"Rps9"	1.23278950505435e-05	-0.207737899900788	0.789	0.892	0.212841108047634
"Dnmt3a"	1.37845093807677e-05	-0.184099088741573	0.427	0.587	0.237989554458955
"Egln1"	1.38059587359686e-05	-0.151037561176715	0.084	0.16	0.238359877576498
"Snapc1"	1.41049909461785e-05	-0.163670606436589	0.102	0.188	0.243522668685773
"Lpcat1"	1.42056626201576e-05	-0.16419771545885	0.209	0.319	0.245260765137022
"Pgk1"	1.44890703731032e-05	-0.178673375126626	0.748	0.872	0.250153799991627
"Ctsd"	1.4957583234912e-05	-0.189492497483794	0.328	0.476	0.258242674550755
"Lsm14a"	1.52832354491108e-05	-0.161167032980873	0.211	0.322	0.263865060028898
"Frat1"	1.5396409456753e-05	-0.166938398909899	0.072	0.143	0.26581900927084
"Apbb2"	1.55578909774299e-05	-0.180672673637856	0.235	0.355	0.268606987725327
"Rpl18"	1.66328543776001e-05	-0.195027284843376	0.681	0.812	0.287166230829265
"Samd5"	1.66933016286113e-05	-0.214276806756814	0.05	0.11	0.288209852617974
"Gps1"	1.6743220683215e-05	-0.188081426953129	0.209	0.327	0.289071705095707
"Stxbp5"	1.70138730924573e-05	-0.182416732165286	0.297	0.424	0.293744518941275
"Pdxp"	1.78706934141525e-05	-0.179996400726033	0.342	0.49	0.308537521795344
"Mrpl52"	1.83985335077675e-05	-0.171241891857804	0.249	0.381	0.317650681011607
"Adcy8"	1.8599294453921e-05	-0.349255573500124	0.116	0.198	0.321116818746947
"Pik3c2a"	1.93147232602173e-05	-0.159937857509551	0.141	0.237	0.333468697087651
"Rps11"	1.94819304441807e-05	-0.163234258362861	0.835	0.914	0.336355529118779
"Cadps"	1.96950175707031e-05	-0.153329678033726	0.972	0.992	0.340034478358188
"Acadsb"	1.98103144590772e-05	-0.150343270492555	0.156	0.263	0.342025079135967
"Rps6"	1.9817349395361e-05	-0.159826114874472	0.889	0.93	0.342146537310908
"Tgfbr3l"	1.98352483595214e-05	-0.154870775300176	0.07	0.139	0.342455562927137
"Slc35c2"	2.07673317507638e-05	-0.164036209878281	0.081	0.154	0.358547982676937
"Clip3"	2.09743058127345e-05	-0.186002089123931	0.293	0.433	0.362121389856862
"Kcnk3"	2.11930340118411e-05	-0.205290706340165	0.251	0.381	0.365897732214437
"Wipi2"	2.22042170013383e-05	-0.164384735176696	0.104	0.187	0.383355806528105
"Chmp2a"	2.23845516564822e-05	-0.18581313045257	0.496	0.666	0.386469284349164
"Erbb4"	2.24858219751859e-05	-0.579901981151766	0.051	0.11	0.388217716401585
"Sergef"	2.38426304168725e-05	-0.199520815084204	0.083	0.156	0.411643014147304
"Naca"	2.57905165618215e-05	-0.159670073530325	0.802	0.895	0.445273268439847
"Snx16"	2.60461314209215e-05	-0.166924417306739	0.07	0.138	0.449686458982209
