""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Tlcd3b"	0.283063376007229	-0.272911996225728	0.267	0.212	1
"Abl1"	0.283698884502983	0.176359040818429	0.161	0.128	1
"Adam10"	0.283959134379553	-0.171588681805805	0.149	0.186	1
"Uggt2"	0.285092643632205	0.292878298336818	0.23	0.19	1
"Rab10os"	0.28578245078284	-0.221373769479764	0.155	0.195	1
"Atg13"	0.286087952624369	-0.261594281811918	0.217	0.261	1
"Vcp"	0.286830900809292	0.160468063404531	0.472	0.416	1
"Rps11"	0.287365989298669	-0.346784992708517	0.621	0.637	1
"Dtx4"	0.287767742911401	-0.161684793675689	0.093	0.128	1
"Fgd1"	0.288190806872162	-0.175564444889003	0.075	0.106	1
"Apbb3"	0.288521760640091	-0.161563888419035	0.137	0.181	1
"Atf6"	0.289209881832575	0.169693279310251	0.124	0.173	1
"Exosc7"	0.289212870578694	0.229268318798052	0.224	0.186	1
"H2ac24"	0.289274775582523	0.216722229521597	0.124	0.093	1
"Snx16"	0.289815430334393	-0.222718632534638	0.18	0.226	1
"Serpini1"	0.289918123375525	-0.362140222001631	0.261	0.301	1
"Letm2"	0.290812965278256	-0.242324847863809	0.224	0.27	1
"Ldb1"	0.291214971169731	0.202012696846876	0.143	0.111	1
"Ttc37"	0.291577378671875	-0.240252760586188	0.093	0.128	1
"Gclc"	0.291603439738181	0.226136491986094	0.174	0.142	1
"Lrrc1"	0.292161886297493	0.377000852024636	0.298	0.265	1
"Esyt2"	0.292196466768875	-0.17050635413871	0.18	0.226	1
"Sbds"	0.292260253911305	0.154958998981688	0.193	0.155	1
"Mapk8ip3"	0.292566227148912	0.307221160699803	0.311	0.265	1
"Hs6st3"	0.293116862242905	-0.599808812861172	0.292	0.323	1
"Os9"	0.293144243191471	-0.179933157077133	0.168	0.208	1
"Glra3"	0.293659537769948	0.183237314286301	0.342	0.305	1
"Mrps18a"	0.293713676060379	0.34444677066087	0.273	0.23	1
"Zmym2"	0.293847261369416	0.221718369258373	0.236	0.195	1
"Tasor2"	0.293951195677526	-0.211128968150171	0.143	0.181	1
"Rimbp2"	0.294111744133877	0.226929928117327	0.28	0.239	1
"AW554918"	0.294982269936276	0.15268143616449	0.28	0.23	1
"Sipa1l3"	0.295210148262856	0.274846677588804	0.335	0.296	1
"Asphd2"	0.295420767549264	-0.180329909148949	0.093	0.128	1
"Synj2bp"	0.296100814930919	-0.306867230095214	0.23	0.265	1
"Ppm1l"	0.296570644943108	0.286676930791255	0.441	0.407	1
"Ddx56"	0.296636602530073	-0.243017347514381	0.081	0.111	1
"Arhgef26"	0.296651173355904	0.486733709070202	0.174	0.137	1
"Kcnc1"	0.296765932149059	-0.278922645591009	0.416	0.442	1
"Mrps28"	0.297157877775797	-0.192461808663812	0.155	0.195	1
"Flnb"	0.297240955638417	0.159998042666032	0.186	0.15	1
"Ccser1"	0.298093691776993	0.284565279572333	0.658	0.659	1
"Zfp266"	0.298107010488452	-0.186792052254177	0.168	0.208	1
"Pcsk2"	0.298463377124779	-0.278777159038712	0.267	0.314	1
"Pitpnm2"	0.29904548074308	-0.179791939496425	0.13	0.168	1
"1810058I24Rik"	0.299118992002282	0.266988320489204	0.193	0.159	1
"Atad2b"	0.299352588132886	0.266173729747066	0.311	0.261	1
"Lrrn3"	0.299539808849434	0.192206139522034	0.255	0.212	1
"Vrk1"	0.299544348792186	0.206773681121965	0.106	0.075	1
"Jund"	0.299737531125936	0.159033387668714	0.503	0.442	1
"Mien1"	0.300322345878243	-0.301948494678193	0.398	0.42	1
"Eif4ebp2"	0.300993166213474	-0.209765693907889	0.161	0.204	1
"Cnbd2"	0.302025644390422	0.284110053239555	0.124	0.093	1
"Ammecr1l"	0.302222488324663	-0.167750763356658	0.106	0.142	1
"Fyco1"	0.302230731418869	-0.232553730733716	0.186	0.217	1
"Ing2"	0.302268060061178	0.183885780647462	0.118	0.088	1
"Hnmt"	0.304443155240561	-0.176796984994011	0.124	0.159	1
"Akt1"	0.304676923091354	0.160488471890189	0.112	0.084	1
"Zfp24"	0.304676923091354	0.30001883738083	0.112	0.084	1
"Vbp1"	0.304689072684456	0.233446683284021	0.379	0.336	1
"Zscan26"	0.30498782929671	-0.227511837124929	0.161	0.199	1
"Specc1"	0.305061298458533	-0.200550312271551	0.174	0.221	1
"Aprt"	0.305775005837089	-0.201964873526287	0.155	0.199	1
"Gpatch11"	0.306604479294399	0.233467664507029	0.261	0.226	1
"Ifngr2"	0.306902222878688	-0.153210322608429	0.087	0.119	1
"Tafa2"	0.306985725716743	0.316938773888344	0.298	0.257	1
"Kctd13"	0.30705405472156	0.211754164607049	0.311	0.283	1
"Tenm4"	0.307295638526087	0.278819716777794	0.59	0.535	1
"Fam102a"	0.307510044755646	-0.232731841453507	0.081	0.111	1
"Mapk12"	0.307510044755646	-0.201607803846553	0.081	0.111	1
"Lin52"	0.308674652628425	0.175058963779101	0.211	0.168	1
"Pten"	0.309415399441936	0.158973640846361	0.54	0.504	1
"Grb10"	0.309523987112939	-0.304344428326409	0.273	0.217	1
"Map2k1"	0.309617974555894	0.202074513106255	0.366	0.332	1
"Pcif1"	0.309821713556116	-0.217201973436599	0.224	0.274	1
"Cblb"	0.310231092922598	-0.37942125514805	0.093	0.124	1
"Mtus2"	0.310246159098493	0.343405313896731	0.615	0.575	1
"AW209491"	0.311191117313182	0.200582909308536	0.106	0.08	1
"Exoc5"	0.311910832948195	-0.298380344032892	0.155	0.19	1
"Pax6"	0.312501020669138	0.160362960482157	0.77	0.721	1
"Setdb1"	0.313973961731406	-0.158798969998967	0.112	0.146	1
"Dlat"	0.314092173442383	0.205999546849575	0.273	0.235	1
"Tmem184b"	0.31426750363436	0.153257612681252	0.174	0.142	1
"4930517O19Rik"	0.314468627459109	-0.223081040621625	0.13	0.164	1
"Mlycd"	0.315905008455432	-0.182689002699371	0.093	0.124	1
"Gm2a"	0.316471434343123	0.165223038046759	0.106	0.075	1
"Sh3bgrl3"	0.317236901291382	-0.269698460604593	0.261	0.305	1
"Eif4a1"	0.317256622489004	0.183267804288995	0.46	0.398	1
"Aldoa"	0.317348066479499	-0.258829039864187	0.758	0.77	1
"Ap1s2"	0.317400679481474	0.162153019071289	0.118	0.088	1
"Laptm4b"	0.317656866857054	-0.309446993627241	0.366	0.398	1
"Ndufc1"	0.318223671181529	0.206271322925958	0.571	0.544	1
"Rbms3"	0.318453205484979	0.193963007305722	0.161	0.128	1
"Nup210"	0.31850185074291	0.282099950394248	0.112	0.084	1
"Lclat1"	0.318644114812812	-0.24333041882637	0.081	0.111	1
"Cacng2"	0.319172059197908	-0.207805301562168	0.273	0.314	1
"Rasgef1a"	0.319320640186089	-0.223442624519428	0.087	0.119	1
"Dnmt1"	0.319379341171742	0.159399289482264	0.112	0.084	1
"Pak2"	0.319499381329298	-0.242470349133264	0.149	0.186	1
"4632427E13Rik"	0.320039089025265	0.298939376884504	0.311	0.27	1
"Ssr3"	0.320225366967257	-0.241743298723989	0.193	0.235	1
"Ssr4"	0.320253983540976	-0.311501142394705	0.236	0.283	1
"Ralgapb"	0.320889986696398	-0.194666607548481	0.23	0.279	1
"Arpc1a"	0.321317501102664	-0.249881029379061	0.373	0.425	1
"Senp2"	0.321357008961233	0.170771784325734	0.292	0.248	1
