""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Rdh10"	0.180886452544474	0.195272101458078	0.582	0.609	1
"1110046J04Rik"	0.181463440170854	0.15758731218847	0.108	0.074	1
"Dnah7b"	0.181666810250721	0.190624396400188	0.319	0.287	1
"Fasn"	0.182317819072082	-0.15779604299369	0.188	0.262	1
"2900052L18Rik"	0.182423078127944	0.310557657708871	0.188	0.158	1
"Haus2"	0.182580085440326	0.190537234980446	0.113	0.079	1
"A830019P07Rik"	0.184444698410268	0.21929134410859	0.474	0.46	1
"Emc4"	0.184518630099783	-0.153856897862967	0.413	0.5	1
"Plcb3"	0.185016336329313	0.162484421290771	0.16	0.124	1
"Pawr"	0.185715017216085	0.20643475822275	0.493	0.455	1
"Necap2"	0.186503025737082	-0.165190722567549	0.192	0.262	1
"Fam13b"	0.186838627257041	-0.150874799860078	0.244	0.317	1
"Ptms"	0.187828664865223	0.212927468837729	0.746	0.792	1
"Fgf12"	0.188510609657704	-0.200862632640727	0.075	0.114	1
"Eda"	0.188753360179956	0.178212916285073	0.136	0.099	1
"Dbt"	0.189854755996184	0.165364744559178	0.146	0.109	1
"Tbrg1"	0.191722350228707	0.222057533358689	0.291	0.267	1
"Zcchc24"	0.192144273456253	-0.230702408047173	0.15	0.203	1
"Ppm1a"	0.193181615212211	0.25595080135538	0.465	0.465	1
"Snhg9"	0.193890670301174	0.178966556044632	0.394	0.371	1
"Prdm5"	0.194114669600676	0.273293574542863	0.399	0.406	1
"Syf2"	0.194638250187754	-0.160568691611203	0.418	0.52	1
"Odc1"	0.194941740999156	0.260256439073709	0.178	0.144	1
"Gng12"	0.195913234720621	0.224721352584866	0.207	0.173	1
"Uqcr10"	0.195941980927722	0.234121980235462	0.775	0.837	1
"Arpc2"	0.197895170772633	0.186429225017922	0.577	0.594	1
"Snap23"	0.198506316249899	-0.17385603872908	0.164	0.228	1
"4632427E13Rik"	0.199956809081325	0.168993788747972	0.526	0.545	1
"Khk"	0.200126156640538	0.211571369076148	0.282	0.252	1
"Rprd2"	0.200413791053968	0.155717737771351	0.239	0.208	1
"Dock7"	0.200888785040406	0.216361972635555	0.46	0.46	1
"Cog2"	0.200903197269804	0.211509452880333	0.108	0.074	1
"Coro2b"	0.202616166993634	0.290703241719049	0.31	0.292	1
"Ncoa2"	0.202704722612924	-0.151228882406327	0.347	0.421	1
"Cachd1"	0.203169051205936	0.152836580436196	0.122	0.089	1
"Mcmbp"	0.203185581888295	-0.246267679464424	0.146	0.203	1
"Thoc7"	0.203487741557217	0.264330626264261	0.601	0.604	1
"Fgfbp3"	0.203932561766642	-0.307334222945181	0.178	0.243	1
"Tpt1"	0.204640938065522	0.204853118699774	0.887	0.926	1
"Psmf1"	0.205068036506864	0.16081676576993	0.127	0.094	1
"Atp6v1a"	0.205590708970673	0.175089233640173	0.362	0.361	1
"Sc5d"	0.205924538015916	-0.202630902858825	0.146	0.198	1
"Pkia"	0.206008432013217	0.238108798714877	0.315	0.302	1
"Pbrm1"	0.208405770363564	0.166019082129522	0.376	0.356	1
"Pygo2"	0.208852322978036	-0.152595122031798	0.089	0.134	1
"Rpl10-ps3"	0.209830642589742	0.34408377056167	0.15	0.119	1
"Usp19"	0.210467084395044	0.184547898702589	0.192	0.163	1
"Fbxo30"	0.210638329899382	0.240159175749822	0.249	0.213	1
"Hibadh"	0.210670778422732	-0.15712116064252	0.554	0.649	1
"E2f3"	0.210825555045492	0.153905072870712	0.113	0.079	1
"Ttc1"	0.211649655464487	0.295496428425349	0.258	0.228	1
"Scand1"	0.211881479231152	0.160205371968088	0.315	0.287	1
"Slmap"	0.212223689907132	-0.166001736160033	0.859	0.921	1
"Tns3"	0.212726014079165	0.212632494121739	0.643	0.634	1
"Mrpl51"	0.212826242199095	0.235481068201069	0.315	0.297	1
"Mrfap1"	0.214022504229359	-0.150589042374195	0.681	0.807	1
"Btg1"	0.214064186811041	0.237760212030772	0.704	0.713	1
"Ankrd46"	0.214334857562933	0.272586533525866	0.244	0.213	1
"Slc6a1"	0.21744389371868	0.210251465860557	0.657	0.723	1
"Fam120c"	0.217456170987091	-0.15482813978994	0.146	0.193	1
"Zc3h4"	0.218227996286654	0.169983504012247	0.155	0.124	1
"Adamts1"	0.219452846019419	0.340739244211309	0.315	0.292	1
"Tmem132b"	0.219941151675382	0.165630710626968	0.441	0.441	1
"Cdk14"	0.22004968793589	-0.173864753373837	0.291	0.376	1
"Adgrv1"	0.220328577200246	0.249878894864508	0.704	0.762	1
"Hes5"	0.221713443569206	-0.19295079367427	0.512	0.589	1
"Chmp5"	0.222143223122416	-0.154765047778145	0.643	0.748	1
"Tmem209"	0.22215048764852	0.150560368426743	0.103	0.074	1
"Plekha5"	0.223830703821341	0.20284182966207	0.268	0.238	1
"Rnf38"	0.224884488019626	-0.151812805358207	0.169	0.228	1
"Carhsp1"	0.225014422787648	0.257746611017157	0.268	0.243	1
"Palm"	0.226170216660134	0.265413287606981	0.413	0.426	1
"Arhgap1"	0.226622663175155	0.182057278586395	0.122	0.094	1
"Pcdh9"	0.228455849457014	0.21028506150172	0.864	0.891	1
"Tra2a"	0.22967416318544	0.177654516028907	0.512	0.51	1
"Ppp1r21"	0.230375365654858	-0.151099374055342	0.117	0.168	1
"Rsbn1"	0.231469229956312	0.221146009291883	0.296	0.277	1
"Zc3hc1"	0.231703400917965	0.196858126138263	0.103	0.074	1
"Phc2"	0.231869069614721	-0.291081174223333	0.202	0.257	1
"Tm2d1"	0.231951998999586	0.302935511653174	0.455	0.46	1
"Atp11b"	0.232010930519592	0.156852722029338	0.131	0.104	1
"Acot1"	0.233808364981134	0.185239129974895	0.15	0.119	1
"Ophn1"	0.234451082130581	-0.153936982442573	0.075	0.109	1
"Mcrip1"	0.23543975536555	0.237966580592278	0.385	0.371	1
"Kif13a"	0.235574107507153	0.166692260279867	0.357	0.337	1
"Arglu1"	0.236033163689227	0.1591642926066	0.516	0.515	1
"Lamtor4"	0.236416466670644	-0.25721892017819	0.394	0.48	1
"Tox3"	0.236954827497818	-0.2022846916693	0.653	0.738	1
"Pptc7"	0.238024204092656	0.162455368412831	0.108	0.079	1
"Slc6a6"	0.238087473999531	0.401867816895491	0.46	0.545	1
"Cul4a"	0.239338837097462	0.249260800281912	0.221	0.198	1
"Sh3rf1"	0.240694279135936	-0.166923528766786	0.282	0.361	1
"Atp5g3"	0.240882230718687	0.216179057601306	0.502	0.53	1
"Stk3"	0.242160058911642	0.165262521818492	0.249	0.223	1
"Capza1"	0.242742010856645	0.155953316880492	0.23	0.203	1
"Snhg8"	0.244833706753208	0.187196039989642	0.657	0.678	1
"Ldlrad4"	0.245698829743776	0.265704767621829	0.254	0.228	1
"Rap1b"	0.24835759109775	0.174305201500336	0.333	0.317	1
"Tenm4"	0.249771140310046	0.189358727260758	0.211	0.178	1
"Mecp2"	0.250149862430152	-0.24657831499786	0.249	0.302	1
"B4galt6"	0.250402621577843	0.155261661115238	0.404	0.376	1
"Tspan6"	0.251008369969223	0.182992814402761	0.117	0.089	1
"Brinp1"	0.252217181800678	0.238874053685458	0.146	0.114	1
"Eif2s3x"	0.252508723880833	0.182089811568527	0.164	0.139	1
"2610037D02Rik"	0.252672313343277	0.263151907442009	0.282	0.272	1
"Rnps1"	0.252812845372145	0.201230233869388	0.305	0.292	1
"Commd9"	0.254622755183762	-0.192233628473603	0.174	0.233	1
"Cpne3"	0.255510723033495	-0.192839025302947	0.371	0.46	1
"Ywhab"	0.257037768320806	0.247374251252566	0.437	0.426	1
"Ext1"	0.259660771394129	0.21295600412173	0.427	0.411	1
"Phactr2"	0.262035471108003	0.226901465511452	0.23	0.203	1
"Slc33a1"	0.262208740759555	0.160280772944349	0.155	0.129	1
"Nsun2"	0.263345424391578	0.216868450221798	0.155	0.124	1
"Zc3h6"	0.263637647272109	0.181110111440644	0.235	0.208	1
"Insig2"	0.263736770711186	0.181321528649662	0.366	0.386	1
"Nfe2l2"	0.263841448248757	0.232555449707655	0.263	0.238	1
"Hmgxb4"	0.264181072761655	0.151606286031899	0.122	0.094	1
"Snx25"	0.264399931266165	0.189002311730381	0.221	0.193	1
"Eif4e"	0.265784418906934	-0.164606952155805	0.315	0.406	1
"Stxbp6"	0.265887101738761	0.177288852515304	0.221	0.193	1
"Jam2"	0.268259614422427	0.181918747610756	0.352	0.342	1
"Ormdl1"	0.26861860627397	0.267952326924125	0.188	0.158	1
"Mfap3"	0.26887499591928	0.186594720129398	0.15	0.124	1
"Ctdsp2"	0.268990239609038	0.154125876216438	0.221	0.302	1
"Cd2ap"	0.269515242775964	0.151413409455064	0.225	0.203	1
"Dab1"	0.270825406973968	0.205407012202661	0.746	0.792	1
"Ipo9"	0.270914042262928	0.167739573761035	0.155	0.129	1
"Gadd45g"	0.271218825799976	0.779794595533737	0.183	0.153	1
"Snx6"	0.272261907694457	0.174098988951458	0.352	0.337	1
"As3mt"	0.27282420567167	0.173827104220142	0.31	0.292	1
"Acot13"	0.273573531807528	-0.201795274502982	0.277	0.351	1
"Bri3bp"	0.273719427141951	0.175426255402742	0.127	0.099	1
"Rpap2"	0.275026139261502	0.15683751081383	0.127	0.099	1
"Cers4"	0.276159936996369	-0.166518370971678	0.385	0.47	1
"Las1l"	0.276240739372794	0.18515800939827	0.207	0.178	1
"Prpf18"	0.277510476864805	0.159033078091179	0.169	0.139	1
"5330434G04Rik"	0.278173224098119	0.228351404521989	0.117	0.089	1
"Six3"	0.278287038599846	0.187717030151801	0.62	0.644	1
"Ezh2"	0.278387642174152	0.178961825274195	0.164	0.139	1
"Hes6"	0.278946627481597	0.220574055960181	0.131	0.104	1
"Nin"	0.279314678786872	0.236469439191846	0.582	0.614	1
"Mbip"	0.280028426084262	-0.157861045856424	0.085	0.119	1
"Ppm1h"	0.280571772201231	-0.164705729940635	0.197	0.252	1
"Lrig2"	0.280602951592388	0.153116379066061	0.188	0.252	1
"Galm"	0.281259075882525	0.234818464064294	0.244	0.223	1
"Thra"	0.281933307377512	0.201952317457849	0.545	0.574	1
"Klhdc10"	0.283628490276515	-0.173073288212276	0.127	0.168	1
"Zfp182"	0.284459212367475	0.206849596171116	0.197	0.163	1
"Kpna1"	0.285660875164871	0.152442201826074	0.169	0.139	1
"Brap"	0.285770914059685	0.153019822897034	0.141	0.114	1
"Meaf6"	0.285815197289139	0.157836657702786	0.099	0.139	1
"Prpf4b"	0.286402958551897	0.322507930726345	0.479	0.525	1
"Snx5"	0.288084518956985	0.164326557472529	0.469	0.46	1
"Sox2ot"	0.289515456546221	0.178597157202257	0.423	0.426	1
"Smarcc2"	0.290146886200925	0.248902985279328	0.413	0.426	1
"Zfp322a"	0.291125817822157	0.199139492345963	0.178	0.153	1
"Grid1"	0.29241023804476	0.163007897163236	0.225	0.203	1
"Dnajb9"	0.292738824194644	0.211430613692101	0.357	0.455	1
"Tgfb2"	0.293664619979885	0.158367612908709	0.756	0.802	1
"Speg"	0.293922201429733	0.175717526910448	0.164	0.223	1
"Phlda3"	0.294787194184381	0.205829729249703	0.141	0.114	1
"Fnbp1l"	0.295289151552761	0.187494754916736	0.103	0.079	1
"mt-Nd6"	0.295516551998999	0.237980301374785	0.127	0.104	1
"Ostc"	0.29749776502917	0.153786224085274	0.362	0.47	1
"Fgf14"	0.298064611151492	-0.20750710471806	0.085	0.114	1
"Aldh1l1"	0.299241276725973	0.156780754891014	0.277	0.252	1
"Ate1"	0.301204572324655	0.161799487016311	0.188	0.168	1
"Klf13"	0.303301541085502	0.194788703817466	0.296	0.277	1
"Tmem141"	0.304453911162934	0.170463195673481	0.127	0.104	1
"Vcl"	0.304668031828392	0.176477264488288	0.39	0.391	1
"Serhl"	0.305127515830293	0.21269273258477	0.113	0.089	1
"Ehd3"	0.307170628296045	0.193432032580931	0.178	0.158	1
"Rnf150"	0.30757424740132	0.163662575599285	0.352	0.342	1
"Mapk9"	0.307676504570484	-0.150889215093061	0.183	0.233	1
"Snx21"	0.308341473790296	0.153213460181965	0.155	0.129	1
"Grik5"	0.308741858570376	0.245731241319882	0.211	0.193	1
"Tor2a"	0.309297353052811	0.187767932827354	0.197	0.168	1
"Fnbp4"	0.312176040007794	0.19471669915949	0.207	0.183	1
"Atp9b"	0.314228285045899	0.195630694477447	0.31	0.307	1
"Snx32"	0.315633699506354	0.22240851338282	0.225	0.208	1
"Kazn"	0.315900375864172	-0.176820096460205	0.493	0.559	1
"Trim2"	0.316897147448887	0.157462999140979	0.751	0.762	1
"Wdr37"	0.317216665603861	0.156636747718062	0.174	0.149	1
"Gpcpd1"	0.317726631013309	0.262155623186758	0.244	0.228	1
"Ccdc91"	0.31824490827575	0.159031144573828	0.155	0.134	1
"Niban2"	0.319863449347675	-0.152465155976928	0.291	0.371	1
"Fry"	0.320013164388549	0.218907834647426	0.16	0.134	1
"1700054A03Rik"	0.3209136442357	0.15130089804354	0.103	0.079	1
"Eif2s2"	0.322615175571773	0.285408135375266	0.573	0.579	1
"Slc41a1"	0.322811343643093	0.15052976297531	0.207	0.188	1
"Minar2"	0.324054954986273	0.2784913506841	0.62	0.693	1
"Ssu72"	0.327637478059914	0.366774208428748	0.423	0.441	1
"Pigs"	0.327668832529462	-0.151958687221265	0.16	0.203	1
"H2aj"	0.327838024872673	0.183171647392905	0.362	0.347	1
"Selenoh"	0.328632997257591	-0.194131820613841	0.221	0.272	1
"Wbp2"	0.32930686750954	-0.198142779218358	0.465	0.559	1
"Tsacc"	0.329813780215825	0.171706761249423	0.16	0.134	1
"Rab26os"	0.331333537603045	0.181343235383711	0.404	0.421	1
"Foxd2os"	0.331338121333047	-0.184881755000901	0.089	0.119	1
"Cpeb1"	0.331369810429672	0.228047171975443	0.315	0.302	1
"Pcm1"	0.332357470440621	0.155676997129991	0.404	0.401	1
"Id3"	0.333170276264857	-0.180339242034372	0.634	0.688	1
"Polr2k"	0.333402113230377	0.336374205554917	0.399	0.391	1
