""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Thsd7a"	0.00449375441521323	0.520763362376425	0.765	0.543	1
"Ppil6"	0.0045927263631755	0.466216025480343	0.123	0.012	1
"Madd"	0.00465024936610476	-0.485694918412679	0.63	0.84	1
"Rxylt1"	0.00474422910915742	0.622148806190445	0.21	0.062	1
"Tmed7"	0.00478366588516658	-0.54594860473935	0.037	0.173	1
"Ctsb"	0.00492089399539654	0.539478066527552	0.753	0.556	1
"Cpsf7"	0.00500005686417957	-0.604040342682462	0.062	0.21	1
"Guk1"	0.00513617703667956	0.418343854152148	0.877	0.765	1
"Gm47283"	0.00515087743105213	-0.518344335493782	0.074	0.235	1
"Atp5j"	0.00539370543678788	0.498824247781295	0.753	0.593	1
"Rbm3"	0.00541434736865757	0.497753595382417	0.58	0.37	1
"mt-Nd1"	0.00543092789527594	-0.46253127630311	0.975	0.988	1
"Eloc"	0.00544090792946882	0.562782345904432	0.358	0.185	1
"Mdga2"	0.00548647248626311	-0.812071675465507	0.284	0.481	1
"3110056K07Rik"	0.00554829164547599	0.586104891000219	0.309	0.123	1
"Rprd2"	0.00567201735738195	-0.581989408649386	0.086	0.247	1
"Tmem11"	0.00571487171592038	0.508989530899947	0.185	0.049	1
"Uqcr10"	0.00581202970434774	0.571081005662265	0.704	0.531	1
"Rpl24"	0.00602506563116034	0.475519056663925	0.741	0.63	1
"Snph"	0.00602617245838667	-0.371476037209684	0.049	0.198	1
"Atp5g1"	0.00610352820585369	0.458551840020857	0.815	0.568	1
"Epb41"	0.00612045878447887	-0.480740454355781	0.778	0.864	1
"Set"	0.00641767588333368	-0.599879565426576	0.284	0.506	1
"Kdm5d"	0.00658716056891524	-0.483638319000105	0.062	0.21	1
"Riiad1"	0.00658958374355023	0.832234753405364	0.457	0.296	1
"Catspere2"	0.00666604077533788	0.470594919135968	0.222	0.074	1
"Vapb"	0.00666604077533788	0.474052755128752	0.222	0.074	1
"Sun1"	0.00677589399558349	-0.594436946437209	0.074	0.222	1
"Rnf150"	0.00678144716830285	0.575759139164095	0.247	0.099	1
"Thra"	0.00686456415290296	-0.714347470359027	0.111	0.272	1
"Rpl38"	0.00686997214846245	0.540873123335177	0.741	0.617	1
"Rps18"	0.0068859262827039	0.405445699612758	0.728	0.543	1
"Mef2c"	0.00721016939090359	0.683746744382665	0.469	0.296	1
"Lmod1"	0.00723623859946697	0.563424248965214	0.185	0.049	1
"Ptpn13"	0.00728361538442143	-0.519708237132623	0.086	0.247	1
"Dpf3"	0.00729619296406001	-0.588652070350587	0.457	0.654	1
"Snhg6"	0.00732857078402279	0.477185626749351	0.259	0.099	1
"Gcsh"	0.00736711630179911	-0.530599814054469	0.049	0.185	1
"Rpl22"	0.00747725179968215	0.318649180144355	0.444	0.247	1
"Psenen"	0.00758298174935857	0.525112517476851	0.444	0.296	1
"Atxn10"	0.00763814052986306	0.801431172405636	0.296	0.148	1
"Pde4b"	0.00765963850439178	1.07557045925454	0.247	0.099	1
"Zdhhc3"	0.0076674188331226	0.609252455557001	0.136	0.025	1
"Strip1"	0.00767883085783769	-0.656281046990816	0.037	0.16	1
"Snhg14"	0.00774643776516194	-0.618694493705229	0.086	0.235	1
"mt-Co1"	0.00782107762338746	0.197031904792058	1	1	1
"Grk1"	0.00801989337534625	-0.821992590657127	0.457	0.58	1
"Nphp1"	0.00816803734410626	0.480520652318055	0.136	0.025	1
"Fam169a"	0.00817014184935717	-0.602872226071822	0.593	0.728	1
"Nup35"	0.00821506585478388	0.496310269282227	0.173	0.049	1
"Gm30771"	0.00834129758508169	0.552281104424125	0.136	0.025	1
"Mapk4"	0.00837750495398693	-0.647239737847399	0.457	0.617	1
